,precision,recall,f1-score,support
BENIGN,0.9998957309952361,0.9499543218165608,0.9742854530327677,454265.0
Bot,0.06363191385217817,0.9974424552429667,0.1196319018404908,391.0
DDoS,0.9404718159770706,0.9995703964069518,0.9691209602605123,25605.0
DoS GoldenEye,0.8566005904681568,0.986401165614376,0.9169300225733634,2059.0
DoS Hulk,0.9097832338416992,0.9967191743617599,0.9512690776376908,46025.0
DoS Slowhttptest,0.8831168831168831,0.9890909090909091,0.9331046312178388,1100.0
DoS slowloris,0.6819262782401903,0.9896462467644521,0.8074621612108412,1159.0
FTP-Patator,0.9088825214899714,0.9993698802772527,0.9519807923169268,1587.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,0.06976744186046512,0.8571428571428571,0.12903225806451613,7.0
PortScan,0.8203165408089377,0.9987091086552691,0.9007653097445655,31761.0
SSH-Patator,0.6508549365692223,1.0,0.7885065152021383,1180.0
Web Attack � Brute Force,0.1592554291623578,0.5116279069767442,0.24290220820189273,301.0
Web Attack � Sql Injection,0.018518518518518517,0.5,0.03571428571428571,4.0
Web Attack � XSS,0.05897435897435897,0.7076923076923077,0.10887573964497041,130.0
accuracy,0.9590170021358756,0.9590170021358756,0.9590170021358756,0.9590170021358756
macro avg,0.6014664129250165,0.8988911153361605,0.6553054211108534,565576.0
weighted avg,0.9760743636303657,0.9590170021358756,0.9657730052881861,565576.0
