,precision,recall,f1-score,support
BENIGN,0.9999645283939121,0.9929204319064863,0.9964300310384059,454265.0
Bot,0.3350559862187769,0.9948849104859335,0.5012886597938144,391.0
DDoS,0.9987512195121951,0.9995313415348565,0.9991411282451689,25605.0
DoS GoldenEye,0.9818442427138079,0.9980573093734822,0.9898843930635838,2059.0
DoS Hulk,0.9762895351305455,0.9993047256925583,0.9876630697374779,46025.0
DoS Slowhttptest,0.9767649687220733,0.9936363636363637,0.9851284362325372,1100.0
DoS slowloris,0.9948364888123924,0.997411561691113,0.996122361051271,1159.0
FTP-Patator,0.9981120201384519,0.9993698802772527,0.9987405541561712,1587.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.7142857142857143,0.8333333333333334,7.0
PortScan,0.9938644545312255,0.9996221781430056,0.9967350014127397,31761.0
SSH-Patator,0.9991532599491956,1.0,0.9995764506565015,1180.0
Web Attack � Brute Force,0.3178294573643411,0.5448504983388704,0.401468788249694,301.0
Web Attack � Sql Injection,0.2857142857142857,0.5,0.36363636363636365,4.0
Web Attack � XSS,0.10240963855421686,0.7846153846153846,0.1811722912966252,130.0
accuracy,0.9938858791745053,0.9938858791745053,0.9938858791745053,0.9938858791745053
macro avg,0.7973726723836948,0.9012326866654015,0.8153547241269126,565576.0
weighted avg,0.996477882376954,0.9938858791745053,0.9949702543666425,565576.0
