,importance
service_FTP,0.17684592
service_DNS,0.12583128
service_SSH,0.11983825
payload_category_empty,0.06494314
service_HTTP-Alt,0.06394613
payload_category_large,0.057534963
port_category_well_known,0.05421509
payload_category_medium,0.035700735
service_HTTPS,0.034123078
duration_bucket_medium,0.03322414
payload_category_tiny,0.030643428
duration_bucket_short,0.027796216
Max Packet Length,0.018635336
service_Other,0.018101774
duration_bucket_micro,0.017856054
payload_category_small,0.015123006
Bwd Packet Length Mean,0.014338504
service_HTTP,0.013330807
Total Length of Fwd Packets,0.01231277
Fwd Packet Length Max,0.01021678
fwd_bwd_ratio,0.009722977
Flow Bytes/s,0.009367779
port_category_ephemeral,0.0074918955
duration_bucket_long,0.00678106
Bwd Packets/s,0.005277518
Average Packet Size,0.0043247067
port_category_registered,0.0033154632
service_PostgreSQL,0.0017630128
service_POP3,0.0015150281
service_SMTP,0.0015088811
service_IMAPS,0.0013484136
service_RDP,0.0012082227
service_Telnet,0.0010877821
service_IMAP,0.00040140896
service_MySQL,0.0003199591
syn_no_ack,8.508255e-06
