,precision,recall,f1-score,support
BENIGN,0.9998755830725499,0.9587254279509712,0.9788682236797285,494566.0
Bot,0.06137012369172217,0.989769820971867,0.11557413767358518,782.0
DDoS,0.9975363551136983,0.9996285857857595,0.9985813745389467,45771.0
DoS GoldenEye,0.9217548620533695,0.9900412922030605,0.9546785337861576,4117.0
DoS Hulk,0.9460713208576886,0.9964603376293338,0.9706122869961764,66108.0
DoS Slowhttptest,0.9762331838565023,0.9895454545454545,0.982844243792325,2200.0
DoS slowloris,0.9716941275876637,0.9918068132815869,0.9816474605207,2319.0
FTP-Patator,0.9700305810397554,0.9993698802772527,0.9844816883923029,3174.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.5714285714285714,0.7272727272727273,7.0
PortScan,0.9935082343929529,0.9994028355678841,0.9964468175008643,51912.0
SSH-Patator,0.8128876636802206,1.0,0.8967876829500095,2359.0
Web Attack � Brute Force,0.179539641943734,0.582089552238806,0.27443315089913994,603.0
Web Attack � Sql Injection,0.029411764705882353,0.875,0.056910569105691054,8.0
Web Attack � XSS,0.07259849490925188,0.6283524904214559,0.13015873015873017,261.0
accuracy,0.9686423243333843,0.9686423243333843,0.9686423243333843,0.9686423243333843
macro avg,0.7288341291269994,0.9047747374868003,0.7366198418178056,674189.0
weighted avg,0.9903119738370373,0.9686423243333843,0.978391149065101,674189.0
